class,id,name,presync,sync,postsync,init,heartbeat,precommit,commit,finalize
voltdump,0,,0,0,0,1000,0,0,0,0
currdump,1,,0,0,0,0,0,0,0,0
overhead_line_conductor,2,conductor1,0,0,0,0,0,0,0,0
overhead_line_conductor,3,conductor2,0,0,0,0,0,0,0,0
overhead_line_conductor,4,conductor3,0,0,0,0,0,0,0,0
underground_line_conductor,5,conductor4,0,0,0,0,0,0,0,0
underground_line_conductor,6,conductor5,0,0,0,0,0,0,0,0
line_spacing,7,line_spacing1,0,0,0,0,0,0,0,0
line_spacing,8,line_spacing2,0,0,0,0,0,0,0,0
line_spacing,9,line_spacing3,0,0,0,0,0,0,0,0
line_spacing,10,line_spacing4,0,0,0,0,0,0,0,0
line_spacing,11,line_spacing5,0,0,0,0,0,0,0,0
line_spacing,12,line_spacing6,0,0,0,0,0,0,0,0
line_spacing,13,line_spacing_7,0,0,0,0,0,0,0,0
line_configuration,14,line_configuration1,0,0,0,0,0,0,0,0
line_configuration,15,line_configuration2,0,0,0,0,0,0,0,0
line_configuration,16,line_configuration3,0,0,0,0,0,0,0,0
line_configuration,17,line_configuration4,0,0,0,0,0,0,0,0
line_configuration,18,line_configuration5,0,0,0,0,0,0,0,0
line_configuration,19,line_configuration6,0,0,0,0,0,0,0,0
line_configuration,20,line_configuration7,0,0,0,0,0,0,0,0
transformer_configuration,21,transformer_configuration1,0,0,0,0,0,0,0,0
regulator_configuration,22,regulator_configuration1,0,0,0,0,0,0,0,0
overhead_line,23,overhead_line1,0,0,0,0,0,0,0,0
overhead_line,24,overhead_line2,0,0,0,0,0,0,0,0
overhead_line,25,overhead_line3,0,0,0,0,0,0,0,0
overhead_line,26,overhead_line4,0,0,0,0,0,0,0,0
overhead_line,27,overhead_line5,0,0,0,0,0,0,0,0
overhead_line,28,overhead_line6,0,0,0,0,0,0,0,0
overhead_line,29,overhead_line7,0,0,0,0,0,0,0,0
overhead_line,30,overhead_line8,0,0,0,0,0,0,0,0
underground_line,31,overhead_line9,0,0,0,0,0,0,0,0
underground_line,32,overhead_line10,0,0,0,0,0,0,0,0
overhead_line,33,overhead_line11,0,0,0,0,0,0,0,0
node,34,Node633,0,0,0,0,0,0,0,0
node,35,Node630,0,0,0,0,0,0,0,0
node,36,Node632,0,0,0,0,0,0,0,0
node,37,Node650,0,0,0,0,0,0,0,0
node,38,Node680,0,0,0,0,0,0,0,0
node,39,Node684,0,0,0,0,0,0,0,0
load,40,Load634,0,0,0,0,0,0,0,0
load,41,Load645,0,0,0,0,0,0,0,0
load,42,Load646,0,0,0,0,0,0,0,0
load,43,Load652,0,0,0,0,0,0,0,0
load,44,Load671,0,0,0,0,0,0,0,0
load,45,Load675,0,0,0,0,0,0,0,0
load,46,Load692,0,0,0,0,0,0,0,0
load,47,Load611,0,0,0,0,0,0,0,0
load,48,Load6711,0,0,0,0,0,0,0,0
load,49,Load6321,0,0,0,0,0,0,0,0
switch,50,switch1,0,0,0,0,0,0,0,0
transformer,51,XFMR1,0,0,0,0,0,0,0,0
regulator,52,Reg1,0,0,0,0,0,0,0,0
recorder,53,,0,0,0,0,0,0,0,0
